emp_no,last_name,first_name,title,salary
486879,Ligten,Duangkaew,Assistant Engineer,55040
104092,Vitiello,Abdelaziz,Assistant Engineer,48196
271148,Czaja,Adel,Assistant Engineer,40000
451257,Muniz,Foong,Assistant Engineer,54215
249410,Comyn,Caolyn,Assistant Engineer,46630
237663,Onuegbe,Junsik,Assistant Engineer,65958
19565,Riesenhuber,Zito,Assistant Engineer,40000
204337,Erol,Brewster,Assistant Engineer,40000
10153,Majewski,Heekeun,Assistant Engineer,54246
39812,Peres,Marit,Assistant Engineer,42858
100333,Radivojevic,Kyoichi,Assistant Engineer,54918
262485,Danecki,Tsvetan,Assistant Engineer,40000
499816,Murtagh,Debatosh,Assistant Engineer,40000
33306,Spell,Tesuro,Assistant Engineer,67855
450842,Danner,Charmane,Assistant Engineer,40000
262451,Pokrovskii,Baoqiu,Assistant Engineer,40000
101067,Schmittgen,Kerhong,Assistant Engineer,54297
419884,Dichev,Heejo,Assistant Engineer,48985
400982,Rindone,Jessie,Assistant Engineer,52245
425652,Birrer,Tran,Assistant Engineer,48318
56659,Lanteri,Takahiro,Assistant Engineer,40000
98854,Garrabrants,Kotesh,Assistant Engineer,43094
58227,Bierbaum,Armond,Assistant Engineer,40000
25254,Peek,Matt,Assistant Engineer,61383
207426,Panangaden,Mats,Assistant Engineer,58946
56229,Marakhovsky,Pascal,Assistant Engineer,51497
211238,Raney,Supot,Assistant Engineer,64512
93261,Luca,Pintsang,Assistant Engineer,44298
481712,Jeong,Vitaly,Assistant Engineer,53611
59824,Marwedel,Xiaoshan,Assistant Engineer,47939
230602,Wursthorn,Arnould,Assistant Engineer,40000
423756,Schlumberger,Huican,Assistant Engineer,40000
56159,Shumilov,Zengping,Assistant Engineer,52527
251683,Klassen,Maris,Assistant Engineer,44022
235659,Lanzelotte,Hideyuki,Assistant Engineer,51011
104549,Sabnani,Chaoyi,Assistant Engineer,53559
29077,Tagansky,Candida,Assistant Engineer,41624
408023,Henders,Jovan,Assistant Engineer,47025
234761,Borstler,Lijia,Assistant Engineer,40000
230898,Vitiello,Charlene,Assistant Engineer,65686
417828,Besancenot,Marjo,Assistant Engineer,40000
63744,Mitchem,Shaw,Assistant Engineer,47300
65358,Cooley,Kshitij,Assistant Engineer,40000
411149,Matzke,Mads,Assistant Engineer,77952
466531,Rindone,Sachar,Assistant Engineer,40000
48542,Zeilberger,Kazuhide,Assistant Engineer,55488
36542,Dredge,Sibyl,Assistant Engineer,40000
272104,Koshino,Paris,Assistant Engineer,57313
430446,Ghandeharizadeh,Guoxiang,Assistant Engineer,40000
213670,Dolinsky,Fei,Assistant Engineer,40000
494355,Reutenauer,Koichi,Assistant Engineer,40000
251493,Rosen,Lein,Assistant Engineer,71366
241126,Francisci,Masamitsu,Assistant Engineer,87358
235790,Hofting,Shigehiro,Assistant Engineer,44937
467730,Eldridge,Miyeon,Assistant Engineer,52180
474996,Gelosh,Saeed,Assistant Engineer,40000
76339,Ohori,Aloys,Assistant Engineer,40000
437470,Bouloucos,Rasiah,Assistant Engineer,40277
86217,Asrin,Mari,Assistant Engineer,55211
37716,Hutton,Gill,Assistant Engineer,40000
494166,Khalid,Marit,Assistant Engineer,40000
37117,Munoz,Fumiko,Assistant Engineer,40000
419499,Dulin,Honesty,Assistant Engineer,40000
225277,Harbusch,Hercules,Assistant Engineer,40000
445757,Chiola,Heeju,Assistant Engineer,75752
476314,Gente,Jinxi,Assistant Engineer,54318
85109,Rebaine,Ottavia,Assistant Engineer,40000
453639,Fujisaki,Magy,Assistant Engineer,40000
287608,Picco,Eberhardt,Assistant Engineer,40000
425716,Merro,Khatoun,Assistant Engineer,40714
293851,Callaway,Golgen,Assistant Engineer,40000
467559,Wilharm,Nathalie,Assistant Engineer,40000
214665,Eickenmeyer,Mana,Assistant Engineer,44406
450243,Undy,Mayumi,Assistant Engineer,89121
255795,Godskesen,Sashi,Assistant Engineer,40000
22216,Cooley,Thodoros,Assistant Engineer,64616
25391,Billawala,Hatsukazu,Assistant Engineer,40000
267904,Rande,Suebskul,Assistant Engineer,52749
207276,Oaver,Ramalingam,Assistant Engineer,40000
94030,Shobatake,Masato,Assistant Engineer,40000
21312,Bahi,Mani,Assistant Engineer,43128
448563,Terlouw,Kensei,Assistant Engineer,62694
46622,Krzyzanowski,Filipp,Assistant Engineer,57693
226884,Fortenbacher,Adam,Assistant Engineer,40000
94710,Schrooten,Anneke,Assistant Engineer,79794
467017,Gente,Kolar,Assistant Engineer,40000
420597,Bamford,Ferdinand,Assistant Engineer,40000
253865,Hedayat,Fox,Assistant Engineer,40000
275083,Kopetz,Pranjal,Assistant Engineer,40000
286534,Eastman,Yonghoan,Assistant Engineer,51086
294340,Veldwijk,Radhika,Assistant Engineer,62631
72434,Lueh,Snehasis,Assistant Engineer,40000
47849,Munke,Gao,Assistant Engineer,40000
431666,Sluis,Gregory,Assistant Engineer,40000
264952,Narlikar,Jahangir,Assistant Engineer,53731
91227,Bala,Spyrose,Assistant Engineer,40000
224472,Birta,Marla,Assistant Engineer,40101
412747,Cesareni,Vishv,Assistant Engineer,57282
416847,Dengi,Jinpo,Assistant Engineer,40000
17869,Prochazka,Xiaocheng,Assistant Engineer,40000
491008,Koblick,Kristian,Assistant Engineer,40000
498231,Keirsey,Randy,Assistant Engineer,40000
201150,Miculan,Chaosheng,Assistant Engineer,69972
463334,Peak,Tran,Assistant Engineer,40000
495277,Dalphin,Shaunak,Assistant Engineer,40000
65162,Peot,Marko,Assistant Engineer,40000
236860,Skafidas,Jaewoo,Assistant Engineer,55329
229903,Callaway,Hausi,Assistant Engineer,41972
450495,Boguraev,Isaac,Assistant Engineer,59354
94293,Qiwen,Susuma,Assistant Engineer,40000
249052,Awdeh,Houman,Assistant Engineer,40000
459673,Qiwen,Tiina,Assistant Engineer,59420
28714,Poehlman,Arco,Assistant Engineer,40000
402225,Jiang,Tsutomu,Assistant Engineer,44239
288004,Templeman,Saeed,Assistant Engineer,40000
106340,Plotkin,Giordano,Assistant Engineer,53526
471986,Ranst,Mads,Assistant Engineer,46126
451098,Fujisaki,Pragnesh,Assistant Engineer,50853
99567,Oberman,Christfried,Assistant Engineer,69068
460859,Sadowsky,Duke,Assistant Engineer,53052
100927,Lovengreen,Troy,Assistant Engineer,42027
261700,Gronowski,Mamdouh,Assistant Engineer,40000
42942,Bolotov,Mansur,Assistant Engineer,40000
255361,Spell,Aamer,Assistant Engineer,40000
266349,Stille,Foong,Assistant Engineer,44242
276344,Vieri,Mana,Assistant Engineer,40000
294590,Validov,Haldon,Assistant Engineer,54051
287982,Akaboshi,Stepehn,Assistant Engineer,41759
436442,Takanami,Mang,Assistant Engineer,62859
457191,Iacovou,Barun,Assistant Engineer,40000
11319,Marrakchi,Pranas,Assistant Engineer,40000
55632,Ravishankar,Byong,Assistant Engineer,40000
465751,Thorensen,Elzbieta,Assistant Engineer,60179
97724,Pezzoli,Jagoda,Assistant Engineer,40000
17068,Gopalakrishnan,Bodh,Assistant Engineer,40000
107625,Schwabacher,Quingbo,Assistant Engineer,40000
62958,Magliocco,Tomofumi,Assistant Engineer,40000
31128,Frolund,Serif,Assistant Engineer,67108
18580,Bamford,Mabo,Assistant Engineer,40000
88796,Erol,Mang,Assistant Engineer,40000
86561,Frolund,Thodoros,Assistant Engineer,42797
205057,Usdin,Mostafa,Assistant Engineer,40000
94900,Zyda,Atilio,Assistant Engineer,40000
104658,Ratnakar,Mrinalini,Assistant Engineer,52965
245886,Herath,Frederique,Assistant Engineer,49132
492328,Tzvieli,Mooi,Assistant Engineer,43811
42274,Grospietsch,Gal,Assistant Engineer,40000
455395,Kalorkoti,Amstein,Assistant Engineer,51028
464937,Luit,Fai,Assistant Engineer,43713
207295,Motley,Aiichiro,Assistant Engineer,40000
36843,Gopalakrishnan,Masali,Assistant Engineer,66556
276503,Schrooten,Tesuro,Assistant Engineer,46345
65167,Borovoy,Torsten,Assistant Engineer,65330
55068,Wielonsky,Kyoichi,Assistant Engineer,63460
297728,Woycyznski,Toshimitsu,Assistant Engineer,49056
23691,Stille,Satoru,Assistant Engineer,60076
466867,Klerer,Kwangjo,Assistant Engineer,68241
498684,Argence,Olivera,Assistant Engineer,51406
464155,Horswill,Sachar,Assistant Engineer,58707
498434,Zaiane,Tua,Assistant Engineer,40000
227144,Beeson,Anneli,Assistant Engineer,65909
81177,Berendt,Bodh,Assistant Engineer,68201
20624,Nanard,Xiong,Assistant Engineer,42597
25656,Narwekar,Eben,Assistant Engineer,40000
101086,Breugel,Fumino,Assistant Engineer,65639
462470,Worfolk,Satyanarayana,Assistant Engineer,50319
239539,Hedayat,Shaz,Assistant Engineer,40000
79669,Meszaros,Premsyl,Assistant Engineer,44222
280452,Chenoweth,Navin,Assistant Engineer,44906
53530,Pintelas,Gully,Assistant Engineer,54088
263953,Oxman,Rosli,Assistant Engineer,40000
249094,Siepmann,Subhrajyoti,Assistant Engineer,64641
469712,Gargeya,Yolla,Assistant Engineer,47803
478771,Beznosov,Rasiah,Assistant Engineer,47719
493944,Gulla,Ziyad,Assistant Engineer,57380
83436,Serdy,Ult,Assistant Engineer,53451
283821,Schicker,Jianwen,Assistant Engineer,61276
246225,Birjandi,Reuven,Assistant Engineer,47474
84743,Picaronny,Juichirou,Assistant Engineer,40000
403459,Claffy,Georgi,Assistant Engineer,44740
478939,Riefers,Tommaso,Assistant Engineer,57443
200434,Boguraev,Mabry,Assistant Engineer,43852
251541,Leivant,Jessie,Assistant Engineer,58690
418096,Montresor,Teruyuki,Assistant Engineer,40000
243815,Improta,Zengping,Assistant Engineer,46326
83375,Kenevan,Anestis,Assistant Engineer,42336
263510,Bolotov,Deniz,Engineer,43008
90309,Siegrist,Zengping,Engineer,40000
213592,Schaaf,Kwok,Engineer,45064
284304,Malabarba,Nirmal,Engineer,40000
98725,Kaminger,Gill,Engineer,49026
243766,Oppitz,Xinyu,Engineer,50444
431432,Verhoeff,Danel,Engineer,40000
60146,Clouatre,Dines,Engineer,48567
460105,Plesums,Joydip,Engineer,40000
220082,Kaminger,Paraskevi,Engineer,60879
200365,Tramer,Shiv,Engineer,62371
420040,Ghelli,Minghong,Engineer,45360
42185,Kaminger,Renee,Engineer,41027
216578,Plesums,Koichi,Engineer,57321
223140,Vadhan,Horward,Engineer,52782
438528,Lowrie,Bernt,Engineer,62157
266089,Ranum,Arno,Engineer,40000
216896,Pelc,Suebskul,Engineer,40000
18333,Plesums,Munehiro,Engineer,40520
97730,Smeets,Shooichi,Engineer,40000
35123,Schaaf,Yechezkel,Engineer,57984
211822,Ellozy,Duangkaew,Engineer,52074
59130,Baja,Mingsen,Engineer,41843
18237,Tramer,Limsoon,Engineer,40592
499516,Kampfer,Goncalo,Engineer,64990
446982,Siegrist,Ipke,Engineer,58655
469728,Dratva,Randy,Engineer,61110
30479,Kampfer,Shigenori,Engineer,56666
216415,Vadhan,Gererd,Engineer,56965
431337,Hasenauer,Niteen,Engineer,65587
71839,Hasenauer,Owen,Engineer,40000
249170,Clouatre,Masaru,Engineer,76490
409035,Vadhan,Gad,Engineer,51179
91620,McDermid,Jenwei,Engineer,40000
498451,Hasenauer,Sukumar,Engineer,40000
445743,Clouatre,Nagui,Engineer,63799
236938,dAstous,Elgin,Engineer,70270
423844,Smeets,Masadi,Engineer,53842
88298,Vidya,Shuji,Engineer,54552
79367,Kandlur,Shir,Engineer,56407
89507,Orlowska,Diederik,Engineer,40000
29361,McDermid,LiMin,Engineer,40000
249843,Kandlur,Visit,Engineer,63710
437794,Bage,Etsuo,Engineer,42313
448524,Akazan,Kwangsub,Engineer,51608
105259,Wiegley,Mohamadou,Engineer,66711
412413,Hasham,Alexius,Engineer,40000
62545,Pleszkun,Chiranjit,Engineer,40000
79110,Vecchi,Aiichiro,Engineer,71332
273762,Schaap,Masoud,Engineer,40000
46901,Orlowska,Krisda,Engineer,41985
34610,Ranum,Xinan,Engineer,40000
479878,Orlowska,Kwan,Engineer,40000
258981,Swist,Guther,Engineer,56107
424167,Hasham,Kazuhiko,Engineer,44506
483069,Baek,Masaru,Engineer,40000
256394,Tagansky,Takahiro,Engineer,47053
234643,Schaar,Arvind,Engineer,40000
102144,Karlin,Bernice,Engineer,40000
106721,Furedi,Shigehiro,Engineer,53043
270951,Hasham,Mario,Engineer,40000
216789,Ghemri,Eben,Engineer,56045
482808,Waeselynck,Maya,Engineer,54645
74618,Zyda,Sanjiv,Engineer,50834
440380,Magliocco,Ashish,Engineer,52490
28422,Cmelik,Eckart,Engineer,42779
220756,Billingsley,Krister,Engineer,44476
292825,Facello,Tru,Engineer,40000
450822,Furedi,Wuxu,Engineer,40000
490269,Schaar,Hideyuki,Engineer,40000
27330,Lowrie,Cedric,Engineer,58562
261673,Birta,Fatemeh,Engineer,51116
486166,Berztiss,Akeno,Engineer,40000
270364,Pellegrinelli,Anoosh,Engineer,40000
299588,Bazzichi,Kwun,Engineer,58572
499503,Karner,Arra,Engineer,40000
268468,Ranze,Seongbin,Engineer,61716
477534,Assaf,Eckart,Engineer,40154
429596,Zyda,Xiahua,Engineer,40000
80046,Yemenis,Zhanqiu,Engineer,57292
102314,Maliniak,Anneli,Engineer,40000
409819,Pellegrinelli,Gaetan,Engineer,40000
54584,Plotkin,Fusako,Engineer,52860
39647,Massonet,Aamer,Engineer,55875
426679,Ranze,Zita,Engineer,40000
51113,Camurati,Evgueni,Engineer,40000
212940,Syrzycki,Nahid,Engineer,40000
431194,Nannarelli,Oscal,Engineer,42791
25673,Azulay,Ottavia,Engineer,44111
421249,Raoux,Francesca,Engineer,40000
215291,Raoux,Haldun,Engineer,50804
234804,Sidou,Uriel,Engineer,40000
428649,Raoux,Halsur,Engineer,40895
471726,Hashii,Xiadong,Engineer,48118
29469,Cmelik,Rafael,Engineer,46713
476935,Magliocco,Emdad,Engineer,40000
39043,Ferretti,Kersti,Engineer,40000
48370,Pellegrinelli,Khatoun,Engineer,65014
458870,Raoux,Kokou,Engineer,65217
292331,Vesna,Aamod,Engineer,55580
12848,Smeets,Kazuhide,Engineer,40000
257526,Ferretti,Lalit,Engineer,40000
414286,Stiles,Remmert,Engineer,65165
63331,Fadgyas,Changho,Engineer,65406
487442,Dredge,Boutros,Engineer,40000
467497,Schach,Phillip,Engineer,46726
57123,Zedlitz,Fatemeh,Engineer,42556
298021,Raoux,Rosella,Engineer,40000
64084,Toyoshima,Shao,Engineer,47225
482095,Dymetman,Tomofumi,Engineer,56568
463491,Dichev,Jouko,Engineer,40000
467222,Suri,Xiaoheng,Engineer,63938
89080,Smeets,Gil,Engineer,61361
84552,Sidou,Pramod,Engineer,42753
71100,Karnin,Taisook,Engineer,45296
484532,Vidya,Arif,Engineer,40000
290474,Schach,Vasilii,Engineer,51494
23869,Stiles,Raimond,Engineer,40000
206368,Azadmanesh,Kamakshi,Engineer,40000
450248,Zaiane,Nigel,Engineer,68410
429013,Toyoshima,Maren,Engineer,40000
66828,Narahara,Frederique,Engineer,62909
207780,Schade,Dinah,Engineer,61591
418986,Warwick,Kwangho,Engineer,40000
478866,Haumacher,Elrique,Engineer,55403
261738,Velardi,Radhia,Engineer,60861
18888,Stassinopoulos,Sajjan,Engineer,40562
247335,Bottner,Dante,Engineer,70959
59395,Karunanithi,Richard,Engineer,40000
266653,Cochrane,Khun,Engineer,56954
83557,Candan,Elvis,Engineer,45581
286550,Furudate,Ghassan,Engineer,40000
490552,Backhouse,Emran,Engineer,43804
221766,Karunanithi,Tzvetan,Engineer,46031
298592,Bakhtari,Jiann,Engineer,40000
31865,Schade,Ramzi,Engineer,40000
230747,Haumacher,Piyush,Engineer,42730
69562,Haumacher,Tua,Engineer,48325
23011,Ferretti,Suzette,Engineer,50445
450670,Haumacher,Udo,Engineer,43280
18673,Orlowski,Ohad,Engineer,40000
40250,Birta,Jamaludin,Engineer,44232
292612,Katalagarianos,Lihong,Engineer,46719
29032,Rassart,Mizuhito,Engineer,61256
37910,Danley,Kwangyoen,Engineer,66572
212992,Ferretti,Xiong,Engineer,46681
92251,Furudate,Jianhao,Engineer,64631
217764,Massonet,Ingmar,Engineer,40000
278715,Schaft,Amstein,Engineer,58499
401908,Bolotov,Mohua,Engineer,40000
444558,Maliniak,Ebru,Engineer,40000
86321,Vasanthakumar,Shiv,Engineer,40000
109672,Zhiwei,Maia,Engineer,43009
58094,Katiyar,Danil,Engineer,40000
405472,Miake,Takushi,Engineer,40000
496074,Katiyar,Flemming,Engineer,54906
73225,Swick,Mana,Engineer,44581
426677,Lorie,Waiman,Engineer,40000
88060,Ferriere,Emdad,Engineer,72202
449459,Bakhtari,Pohua,Engineer,51461
428006,Katiyar,Mohamadou,Engineer,52946
235236,Furudate,Kotesh,Engineer,66177
281113,Giaccio,Sumali,Engineer,65527
17711,Katiyar,Owen,Engineer,49277
59331,Broder,Izaskun,Engineer,50825
228258,Giaccio,Suzette,Engineer,51986
479749,Giaccio,Wilmer,Engineer,54506
443930,Schaft,Pramod,Engineer,45283
57672,Peltason,Stevo,Engineer,46270
21078,Bolotov,Shaw,Engineer,54258
455590,Danlos,Claude,Engineer,57159
485176,Ellozy,Xudong,Engineer,41507
101688,Worfolk,Bilhanan,Engineer,40000
440767,Narahari,Adly,Engineer,79342
498770,Katzenelson,Kersti,Engineer,55758
11415,Anido,Sanjiv,Engineer,40000
37896,Hebert,Kristinn,Engineer,40000
92210,Assaf,Kazuhito,Engineer,40000
44566,Bolotov,Yuqun,Engineer,69384
82063,Plump,Shaunak,Engineer,42422
275189,Katzenelson,Sachar,Engineer,45637
45601,Spell,Rafael,Engineer,48687
467521,Giarratana,Juichirou,Engineer,62506
83233,Giarratana,Kerryn,Engineer,40000
67653,Rathonyi,Mabo,Engineer,49386
36536,Miara,Alair,Engineer,71404
422342,Schahn,Mario,Engineer,77832
221561,Plump,Shigeichiro,Engineer,54092
473038,Furudate,Radhika,Engineer,40000
490619,Orsini,Flemming,Engineer,54632
215680,Billingsley,Lokesh,Engineer,40000
401517,Schahn,Perla,Engineer,40000
34704,Usery,Jaques,Engineer,44865
86045,Kavanagh,Leah,Engineer,46795
480135,Narahari,Danny,Engineer,41663
488145,Kavanagh,Phule,Engineer,40000
246510,Zedlitz,Chinho,Engineer,42650
251480,Hedayat,Claude,Engineer,40000
259841,Beausoleil,Pascal,Engineer,40000
229028,Whittlesey,Rasiah,Engineer,43582
212072,Billingsley,Lorien,Engineer,50871
85018,Billingsley,Marjo,Engineer,61123
42174,Schahn,Vishv,Engineer,40000
435533,Giarratana,Stein,Engineer,86844
45657,Hedayat,Jianhao,Engineer,40000
269309,Pelz,Hatim,Engineer,68396
233745,Schapire,Brendon,Engineer,40000
202357,Hedayat,Make,Engineer,43525
58787,Erie,Kristina,Engineer,40000
458909,Pluym,Gunilla,Engineer,40000
253346,Hedayat,Parviz,Engineer,52308
104266,Antonakopoulos,Kiyokazu,Engineer,42290
71683,Hedayat,Sastry,Engineer,40000
279162,Kavraki,Reinhard,Engineer,59749
274364,Kavraki,Reuven,Engineer,40000
432630,Luef,Heejo,Engineer,40000
109204,Ratnakar,Paris,Engineer,40000
496867,Orsini,Rosine,Engineer,47553
84322,Gide,Berto,Engineer,54114
56272,Furudate,Tremaine,Engineer,40000
260017,Swist,Berto,Engineer,55690
499080,Marciano,Dharmaraja,Engineer,40080
84502,Tomescu,Murthy,Engineer,52094
250419,Bottner,Greger,Engineer,40000
422393,Schapire,Ramya,Engineer,56442
59348,Heemskerk,Jackson,Engineer,40000
480631,Kavvadias,Gao,Engineer,40000
208218,Morrey,Masaru,Engineer,77242
449996,Kavvadias,Georg,Engineer,40000
200148,Schapire,Sajjan,Engineer,58462
95393,Magliocco,Udaiprakash,Engineer,40000
223009,Codenie,Xinan,Engineer,40000
461091,Marciano,Faiza,Engineer,47232
499927,Heemskerk,Manohar,Engineer,70546
54298,Orsini,Taizo,Engineer,50797
66336,Sidje,Youjian,Engineer,41301
282317,Llado,Taegyun,Engineer,46113
13990,Schapiro,Deborah,Engineer,52723
262271,Maliniak,Martina,Engineer,40000
287064,Ratnaker,Kish,Engineer,40000
288713,Marciano,Guttorm,Engineer,40000
10642,Narlikar,Hirochika,Engineer,40000
202432,Heering,Aloys,Engineer,56095
263143,Baca,Berhard,Engineer,51619
66937,Heering,Chenye,Engineer,53428
44955,Kawashima,Aram,Engineer,53874
431478,Ratnaker,Poornachandra,Engineer,51362
402064,Erie,Remmert,Engineer,47284
224214,Mateescu,Alassane,Engineer,40000
437852,Maliniak,Mingsen,Engineer,42170
283934,Emden,Boutros,Engineer,53629
22180,Luef,Iara,Engineer,43450
25225,Vrecion,Abdelaziz,Engineer,63803
84626,Pena,Yonghong,Engineer,40000
476086,Broder,Shaleah,Engineer,68686
253514,Cannane,Apostol,Engineer,41810
11676,Ferriere,Valeri,Engineer,43310
23007,Spell,Hyuckchul,Engineer,63693
440520,Sidje,Berna,Engineer,57470
414959,Birta,Tristan,Engineer,41190
463214,Acton,Toshimo,Engineer,40000
46191,Pocchiola,Hilari,Engineer,47480
408422,Whittlesey,Mayuri,Engineer,40000
67428,Diderrich,Dharmaraja,Engineer,40000
471139,Collavizza,Kiyotoshi,Engineer,58547
255059,Kawashima,Tse,Engineer,40000
35501,Scharstein,Gretta,Engineer,45820
495382,Rattan,Radhia,Engineer,55647
289756,Hegner,Huei,Engineer,55071
77334,Hegner,Jaber,Engineer,60836
222155,Delgrande,Kellie,Engineer,60471
262457,Collavizza,Stein,Engineer,40000
489953,Collavizza,Valeska,Engineer,40000
459531,Kawashimo,Gian,Engineer,40594
33226,Hegner,Kenton,Engineer,64453
47981,Peng,Barna,Engineer,50274
30644,Hegner,Marlo,Engineer,40000
473897,Rattan,Seongbae,Engineer,60857
283429,Narlikar,Odoardo,Engineer,40000
438792,Kawashimo,Rasiah,Engineer,49042
33649,Peng,Danil,Engineer,40000
42617,Kawashimo,Thodoros,Engineer,40000
42929,Hegner,Sven,Engineer,40000
236083,Scharstein,Marl,Engineer,48235
20336,Wolniewicz,Magy,Engineer,73502
449069,Gadepally,Gilbert,Engineer,45465
480018,Kawashimo,Zvonko,Engineer,67906
435135,Keirsey,Anoosh,Engineer,56825
416899,Heijenga,Abdelghani,Engineer,42236
414631,Maliniak,Theirry,Engineer,52285
492184,Fetvedt,Malu,Engineer,50336
37039,Diderrich,Dinah,Engineer,40000
247185,Stifter,Yishai,Engineer,54430
99889,Osgood,Mohammad,Engineer,58898
87064,Bednarek,Ewing,Engineer,52553
88973,Peng,Ingemar,Engineer,55462
53827,Baek,Shan,Engineer,40000
456015,Narlikar,Wuxu,Engineer,40000
240156,Heijenga,Hisao,Engineer,45301
86862,Fetvedt,Pascal,Engineer,43765
206765,Zobel,Alselm,Engineer,40000
46500,Keirsey,Mong,Engineer,40000
431869,Collette,Dietrich,Engineer,65762
429642,Slutz,Kagan,Engineer,40000
84917,Fetvedt,Rafael,Engineer,76253
488848,Poehlman,Changho,Engineer,43992
419606,Schauser,Divine,Engineer,40000
62433,McFarlin,IEEE,Engineer,46720
451062,Narwekar,Badri,Engineer,40000
277253,Poehlman,Francesca,Engineer,40000
246320,Bage,Michaela,Engineer,40000
265131,Bottner,Naftaly,Engineer,41812
229092,Morrin,Fumiya,Engineer,40301
15714,Bala,Troy,Engineer,40000
401646,Schauser,Sergi,Engineer,40000
96844,Maliniak,Tommaso,Engineer,40000
48524,Wursthorn,Danae,Engineer,40000
485189,Kemmerer,Sigeru,Engineer,40000
294789,Yoshizawa,Subhada,Engineer,40000
258587,Emden,Francoise,Engineer,40000
296911,Heinisuo,Yefim,Engineer,40000
219568,Osgood,Shunichi,Engineer,42276
274119,Narwekar,Hugo,Engineer,52843
29950,Vasanthakumar,Laurentiu,Engineer,43906
293281,Whittlesey,Denny,Engineer,67003
33767,Kenevan,Dekang,Engineer,40000
66646,Erman,Chanjung,Engineer,50529
58317,Kenevan,Eric,Engineer,43595
466168,McFarlin,Khun,Engineer,40000
97680,Ravishankar,Shaowei,Engineer,40000
218933,Heiserman,Kazunori,Engineer,58805
93039,Heiserman,Martijn,Engineer,58307
26037,Gadepally,Radhika,Engineer,43940
29030,Heiserman,Nikolaus,Engineer,66552
486687,Marciano,Nirmal,Engineer,41980
49242,Erman,Hongzue,Engineer,55679
97235,Morrin,Karsten,Engineer,40000
88556,Ravishankar,Ute,Engineer,60758
70027,Schieder,Manton,Engineer,68244
433992,Gien,Isamu,Engineer,40000
95460,Oskamp,Bedir,Engineer,40000
79131,Speer,Tayeb,Engineer,56922
